Employee ID,StartDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,DOB,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Survey Date,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Date,Training Program Name,Training Type,Training Outcome,Training Duration(Days),Training Cost,Age,PerformanceScore_enc
3427,2019-09-20,Production Technician I,CCDR,Active,Contract,Zone C,Temporary,Production       ,Finance & Accounting,07-10-1969,MA,Female,White,Widowed,Fully Meets,4,2023-01-14,1,2,3,2023-07-15,Leadership Development,Internal,Failed,2,606.11,50,4
3428,2023-02-11,Production Technician I,EW,Active,Contract,Zone A,Part-Time,Production       ,Aerial,30-08-1965,MA,Male,Hispanic,Widowed,Fully Meets,3,2022-09-09,2,1,5,2022-09-12,Customer Service,External,Incomplete,4,673.02,58,4
3429,2018-12-10,Area Sales Manager,PL,Active,Full-Time,Zone B,Part-Time,Sales,General - Sga,06-10-1991,MA,Male,Hispanic,Widowed,Fully Meets,4,2023-05-27,1,2,1,2022-08-13,Leadership Development,External,Failed,2,413.28,27,4
3430,2021-06-21,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,04-04-1998,ND,Male,Other,Single,Fully Meets,2,2023-06-16,5,5,4,2022-12-15,Project Management,External,Completed,3,663.78,23,4
3431,2019-06-29,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Sales,General - Con,29-08-1969,FL,Female,Other,Married,Fully Meets,3,2022-11-25,2,5,3,2023-07-13,Technical Skills,External,Failed,5,399.03,50,4
3432,2020-01-17,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Sales,Field Operations,03-04-1949,CT,Male,Black,Married,Fully Meets,3,2022-12-12,2,3,5,2023-04-18,Project Management,Internal,Passed,2,820.33,71,4
3433,2022-04-06,Area Sales Manager,WBL,Active,Full-Time,Zone B,Temporary,Sales,General - Eng,01-07-1942,CA,Female,Hispanic,Divorced,Exceeds,4,2023-03-25,1,5,2,2022-08-06,Customer Service,External,Passed,5,295.08,80,5
3434,2020-11-06,Area Sales Manager,CCDR,Active,Contract,Zone C,Full-Time,Sales,Engineers,07-03-1957,OR,Female,White,Divorced,Fully Meets,2,2023-04-21,1,4,2,2022-10-07,Leadership Development,Internal,Passed,3,790.15,63,4
3435,2018-08-18,Area Sales Manager,NEL,Active,Contract,Zone B,Part-Time,Sales,Executive,15-05-1974,TX,Male,Black,Widowed,Exceeds,3,2022-12-09,4,3,3,2023-07-19,Customer Service,Internal,Passed,3,798.4,44,5
3436,2022-01-21,Area Sales Manager,BPC,Active,Part-Time,Zone B,Temporary,Sales,Engineers,11-11-1949,TX,Male,Asian,Widowed,Fully Meets,5,2023-07-30,5,5,2,2023-04-09,Leadership Development,Internal,Failed,5,192.61,73,4
3437,2023-08-04,Area Sales Manager,SVG,Active,Contract,Zone B,Temporary,Sales,Field Operations,26-01-1964,IN,Female,Other,Single,Fully Meets,5,2022-10-15,3,2,5,2022-10-20,Technical Skills,Internal,Failed,1,455.68,59,4
3438,2018-08-10,Area Sales Manager,MSC,Active,Full-Time,Zone C,Temporary,Sales,General - Con,06-04-1948,GA,Female,Asian,Married,Fully Meets,3,2022-10-28,4,2,5,2022-10-05,Technical Skills,Internal,Failed,2,208.17,70,4
3439,2022-05-25,Area Sales Manager,EW,Active,Full-Time,Zone A,Temporary,Sales,Splicing,24-11-1981,CO,Male,Other,Single,Fully Meets,3,2022-10-30,1,2,5,2023-03-09,Technical Skills,External,Incomplete,1,421.07,41,4
3440,2019-12-05,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Sales,Finance & Accounting,06-11-1951,KY,Female,White,Divorced,Fully Meets,3,2022-09-24,1,4,5,2023-05-29,Communication Skills,External,Failed,1,649.03,68,4
3441,2019-04-28,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,21-11-1989,NV,Male,Asian,Widowed,Exceeds,4,2022-10-30,4,2,5,2023-01-08,Project Management,Internal,Passed,4,450.2,30,5
3442,2019-07-09,Area Sales Manager,PYZ,Active,Full-Time,Zone A,Full-Time,IT/IS,Field Operations,24-11-1952,MA,Male,Black,Single,Exceeds,2,2022-10-31,2,5,3,2023-03-06,Project Management,External,Failed,4,286.87,67,5
3443,2021-04-05,Area Sales Manager,WBL,Active,Full-Time,Zone C,Part-Time,IT/IS,Project Management - Con,08-04-1994,KY,Male,Asian,Widowed,Fully Meets,3,2023-04-29,2,2,4,2023-02-18,Technical Skills,External,Failed,3,402.13,27,4
3444,2021-11-28,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Sales,Engineers,15-11-1983,KY,Male,Other,Widowed,Fully Meets,3,2022-12-14,1,2,4,2022-11-02,Technical Skills,External,Failed,2,388.84,38,4
3445,2021-01-16,Area Sales Manager,PL,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,07-12-1985,KY,Female,Other,Married,Exceeds,4,2023-05-07,4,5,2,2023-07-14,Project Management,External,Completed,2,879.64,36,5
3446,2021-08-24,Area Sales Manager,BPC,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,01-05-1996,TX,Female,White,Divorced,Exceeds,2,2023-05-21,4,3,5,2022-12-11,Technical Skills,Internal,Failed,5,701.13,25,5
3450,2020-09-01,Area Sales Manager,MSC,Active,Contract,Zone C,Temporary,Sales,Field Operations,11-08-1994,CO,Male,Other,Single,Exceeds,2,2023-01-18,4,3,5,2023-01-12,Technical Skills,Internal,Completed,4,186.07,26,5
3451,2021-02-18,Area Sales Manager,TNS,Active,Contract,Zone C,Full-Time,Sales,General - Con,15-01-1968,CO,Male,Other,Divorced,Exceeds,3,2023-04-29,5,1,2,2023-03-22,Technical Skills,External,Completed,1,921.97,53,5
3452,2022-11-08,Area Sales Manager,PYZ,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,07-01-1947,IN,Male,Black,Divorced,Fully Meets,2,2023-01-19,5,5,2,2022-09-13,Customer Service,Internal,Failed,1,691.04,75,4
3453,2022-10-13,Area Sales Manager,WBL,Active,Contract,Zone C,Part-Time,Sales,Fielders,07-04-1982,MA,Male,White,Widowed,Fully Meets,4,2022-09-17,5,5,3,2022-08-25,Customer Service,External,Completed,5,964.44,40,4
3454,2022-09-11,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,29-01-1970,KY,Male,Hispanic,Married,Needs Improvement,4,2023-03-14,4,4,2,2023-02-07,Communication Skills,Internal,Passed,3,184.9,52,2
3455,2021-06-29,Area Sales Manager,WBL,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,18-01-1999,KY,Male,Other,Widowed,Exceeds,4,2022-08-12,2,1,1,2023-03-17,Project Management,External,Passed,1,220.41,22,5
3456,2023-03-06,Area Sales Manager,NEL,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,25-09-1946,KY,Female,Black,Divorced,Fully Meets,3,2023-03-30,4,3,4,2023-06-08,Technical Skills,External,Passed,2,336.82,77,4
3457,2020-09-25,Area Sales Manager,PL,Active,Full-Time,Zone B,Temporary,Sales,Engineers,23-08-1947,KY,Female,White,Divorced,Needs Improvement,3,2023-04-21,5,1,4,2023-04-15,Customer Service,External,Completed,4,485.73,73,2
3460,2020-02-19,Area Sales Manager,SVG,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,10-02-1944,TX,Male,Asian,Married,Fully Meets,3,2022-11-16,4,3,3,2023-07-08,Communication Skills,External,Incomplete,5,919.52,76,4
